Florida Gators,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Merrimack Warriors,FGM,FGA,3M,3A,FTM,FTA,REB,Oreb,Turn,steal,Players,Chat GPT Team,Team,Location,Opponent,Opponent Conference,Conference Game,Power,Top 25,STR/BENCH,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Points Florida,Points Merrimack
Portland St.,,,,,,,,,,,Portland St.,PRST,,,,,,,,,0,,Portland St. - 8.802,NO,Big Sky,"Portland, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie View A&M,,,,,,,,,,,Prairie View A&M,,,,,,,,,,0,,Prairie View A&M - 7.368,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presbyterian,,,,,,,,,,,Presbyterian,,,,,,,,,,0,,Presbyterian - 19.034,NO,Big South,"Clinton, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princeton,,,,,,,,,,,Princeton,PRIN,,,,,,,,,0,,Princeton - 38.911,NO,Ivy,"Princeton, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence,,,,,,,,,,,Providence,PROV,,,,,,,,,0,,Providence - 26.926,NO,Big East,"Providence, RI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue,,,,,,,,,,,Purdue,PUR,,,,,,,,,1,,Purdue - 78.697,YES,Big Ten,"West Lafayette, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purdue Fort Wayne,,,,,,,,,,,Purdue Fort Wayne,PFW,,,,,,,,,0,,Purdue Fort Wayne - 21.096,NO,Horizon,"Fort Wayne, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens,,,,,,,,,,,Queens,QUC,,,,,,,,,0,,Queens - 18.295,NO,ASUN,"Charlotte, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinnipiac,,,,,,,,,,,Quinnipiac,QUIN,,,,,,,,,0,,Quinnipiac - 21.889,NO,MAAC,"Hamden, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radford,,,,,,,,,,,Radford,RAD,,,,,,,,,0,,Radford - 17.703,NO,Big South,"Radford, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,,,,,,,,,,,Rhode Island,URI,,,,,,,,,0,,Rhode Island - 8.112,NO,A10,"Kingston, RI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rice,,,,,,,,,,,Rice,RICE,,,,,,,,,0,,Rice - 16.104,NO,American,"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond,,,,,,,,,,,Richmond,RICH,,,,,,,,,0,,Richmond - 26.602,NO,A10,"Richmond, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rider,,,,,,,,,,,Rider,RID,,,,,,,,,0,,Rider - 10.664,NO,MAAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Morris,,,,,,,,,,,Robert Morris,RMU,,,,,,,,,0,,Robert Morris - 28.542,YES,Horizon,"Moon Township, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers,,,,,,,,,,,Rutgers,RUTG,,,,,,,,,0,,Rutgers - 15.149,NO,Big Ten,"Piscataway, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento St.,,,,,,,,,,,Sacramento St.,SAC,,,,,,,,,0,,Sacramento St. - 2.883,NO,Big Sky,"Sacramento, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Heart,,,,,,,,,,,Sacred Heart,SHU,,,,,,,,,0,,Sacred Heart - 11.274,NO,MAAC,"Fairfield, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Francis,,,,,,,,,,,Saint Francis,SFPA,,,,,,,,,0,,Saint Francis - 24.406,YES,NEC,"Loretto, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Joseph's,,,,,,,,,,,Saint Joseph's,JOES,,,,,,,,,0,,Saint Joseph's - 31.56,NO,A10,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Louis,,,,,,,,,,,Saint Louis,SLU,,,,,,,,,0,,Saint Louis - 27.591,NO,A10,"St. Louis, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Mary's,,,,,,,,,,,Saint Mary's,SMC,,,,,,,,,0,,Saint Mary's - 68.726,YES,WCC,"Moraga, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Peter's,,,,,,,,,,,Saint Peter's,SPU,,,,,,,,,0,,Saint Peter's - 33.92,NO,MAAC,"Jersey City, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Houston St.,,,,,,,,,,,Sam Houston St.,SHSU,,,,,,,,,0,,Sam Houston St. - 18.922,NO,CUSA,"Huntsville, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samford,,,,,,,,,,,Samford,SAM,,,,,,,,,0,,Samford - 34.11,NO,Southern,"Homewood, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,,,,,,,,,,,San Diego,USD,,,,,,,,,0,,San Diego - 10.771,NO,WCC,"San Diego, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego St.,,,,,,,,,,,San Diego St.,SDSU,,,,,,,,,0,,San Diego St. - 69.381,YES,Mountain West,"San Diego, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,,,,,,,,,,,San Francisco,SF,,,,,,,,,0,,San Francisco - 36.097,NO,WCC,"San Francisco, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose St.,,,,,,,,,,,San Jose St.,SJSU,,,,,,,,,0,,San Jose St. - 21.587,NO,Mountain West,"San Jose, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,,,,,,,,,,,Santa Clara,SCU,,,,,,,,,0,,Santa Clara - 30.114,NO,WCC,"Santa Clara, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle,,,,,,,,,,,Seattle,SEA,,,,,,,,,0,,Seattle - 21.417,NO,WCC,"Seattle, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seton Hall,,,,,,,,,,,Seton Hall,HALL,,,,,,,,,0,,Seton Hall - 16.5,NO,Big East,"Newark, NJ","South Orange, NJ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siena,,,,,,,,,,,Siena,SIE,,,,,,,,,0,,Siena - 8.795,NO,MAAC,"Albany, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIU Edwardsville,,,,,,,,,,,SIU Edwardsville,SIUE,,,,,,,,,0,,SIU Edwardsville - 26.408,YES,Ohio Valley,"Edwardsville, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMU,,,,,,,,,,,SMU,SMU,,,,,,,,,0,,SMU - 27.576,NO,ACC,"Dallas, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Alabama,,,,,,,,,,,South Alabama,USA,,,,,,,,,0,,South Alabama - 14.692,NO,Sun Belt,"Mobile, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,,,,,,,,,,,South Carolina,SC,,,,,,,,,0,,South Carolina - 3.413,NO,SEC,"Columbia, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina St.,,,,,,,,,,,South Carolina St.,SCST,,,,,,,,,0,,South Carolina St. - 12.443,NO,MEAC,"Orangeburg, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,,,,,,,,,,,South Dakota,SDAK,,,,,,,,,0,,South Dakota - 11.341,NO,Summit,"Vermillion, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota St.,,,,,,,,,,,South Dakota St.,SDST,,,,,,,,,0,,South Dakota St. - 32.195,NO,Summit,"Brookings, SD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida,,,,,,,,,,,South Florida,USF,,,,,,,,,0,,South Florida - 14.081,NO,American,"Tampa, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Missouri St.,,,,,,,,,,,Southeast Missouri St.,SEMO,,,,,,,,,0,,Southeast Missouri St. - 20.152,NO,Ohio Valley,"Cape Girardeau, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeastern Louisiana,,,,,,,,,,,Southeastern Louisiana,,,,,,,,,,0,,Southeastern Louisiana - 10.623,NO,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern,,,,,,,,,,,Southern,,,,,,,,,,0,,Southern - 10.472,NO,SWAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Illinois,,,,,,,,,,,Southern Illinois,SIU,,,,,,,,,0,,Southern Illinois - 12.849,NO,Missouri Valley,"Carbondale, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Indiana,,,,,,,,,,,Southern Indiana,,,,,,,,,,0,,Southern Indiana - 11.638,NO,Ohio Valley,"Evansville, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Miss,,,,,,,,,,,Southern Miss,USM,,,,,,,,,0,,Southern Miss - 17.211,NO,Sun Belt,"Hattiesburg, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Utah,,,,,,,,,,,Southern Utah,SUU,,,,,,,,,0,,Southern Utah - 17.135,NO,WAC,"Cedar City, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Bonaventure,,,,,,,,,,,St. Bonaventure,SBU,,,,,,,,,0,,St. Bonaventure - 21.26,NO,A10,"Saint Bonaventure, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. John's,,,,,,,,,,,St. John's,SJU,,,,,,,,,1,,St. John's - 31.841,YES,Big East,"New York, NY","Queens, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Thomas,,,,,,,,,,,St. Thomas,STMN,,,,,,,,,0,,St. Thomas - 23.019,NO,Summit,"St.. Paul, MN","Saint Paul, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanford,,,,,,,,,,,Stanford,STAN,,,,,,,,,0,,Stanford - 1.811,NO,ACC,"Stanford, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen F. Austin,,,,,,,,,,,Stephen F. Austin,SFA,,,,,,,,,0,,Stephen F. Austin - 15.861,NO,Southland,"Nacogdoches, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stetson,,,,,,,,,,,Stetson,STET,,,,,,,,,0,,Stetson - 25.884,NO,ASUN,"DeLand, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stonehill,,,,,,,,,,,Stonehill,STO,,,,,,,,,0,,Stonehill - 11.766,NO,NEC,"Fairfield, CT","South Easton, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stony Brook,,,,,,,,,,,Stony Brook,STBK,,,,,,,,,0,,Stony Brook - 13.595,NO,CAA,"Stony Brook, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syracuse,,,,,,,,,,,Syracuse,SYR,,,,,,,,,0,,Syracuse - 4.252,NO,ACC,"Syracuse, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarleton St.,,,,,,,,,,,Tarleton St.,TAR,,,,,,,,,0,,Tarleton St. - 14.671,NO,WAC,"Stephenville, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCU,,,,,,,,,,,TCU,TCU,,,,,,,,,0,,TCU - 28.789,NO,Big 12,"Fort Worth, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temple,,,,,,,,,,,Temple,TEM,,,,,,,,,0,,Temple - 14.392,NO,American,"Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,,,,,,,,,,,Tennessee,TENN,,,,,,,,,1,,Tennessee - 79.812,YES,SEC,"Knoxville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Martin,,,,,,,,,,,Tennessee Martin,,,,,,,,,,0,,Tennessee Martin - 9.238,NO,Ohio Valley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee St.,,,,,,,,,,,Tennessee St.,TNST,,,,,,,,,0,,Tennessee St. - 12.945,NO,Ohio Valley,"Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee Tech,,,,,,,,,,,Tennessee Tech,TNTC,,,,,,,,,0,,Tennessee Tech - 8.697,NO,Ohio Valley,"Cookeville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,,,,,,,,,,,Texas,TEX,,,,,,,,,0,,Texas - 56.857,YES,SEC,"Austin, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,,,,,,,,,,,Texas A&M,TA&M,,,,,,,,,0,,Texas A&M - 45.993,YES,SEC,"College Station, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M Corpus Chris,,,,,,,,,,,Texas A&M Corpus Chris,,,,,,,,,,0,,Texas A&M Corpus Chris - 30.05,NO,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Southern,,,,,,,,,,,Texas Southern,TXSO,,,,,,,,,0,,Texas Southern - 26.555,NO,SWAC,"Houston, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas St.,,,,,,,,,,,Texas St.,TXST,,,,,,,,,0,,Texas St. - 20.683,NO,Sun Belt,"San Marcos, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Tech,,,,,,,,,,,Texas Tech,TTU,,,,,,,,,1,,Texas Tech - 64.049,YES,Big 12,"Lubbock, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Citadel,,,,,,,,,,,The Citadel,CIT,,,,,,,,,0,,The Citadel - 6.354,NO,Southern,"Charleston, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo,,,,,,,,,,,Toledo,TOL,,,,,,,,,0,,Toledo - 32.869,NO,MAC,"Toledo, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Towson,,,,,,,,,,,Towson,TOW,,,,,,,,,0,,Towson - 25.028,NO,CAA,"Towson, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy,,,,,,,,,,,Troy,TROY,,,,,,,,,0,,Troy - 34.931,YES,Sun Belt,"Troy, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulane,,,,,,,,,,,Tulane,TULN,,,,,,,,,0,,Tulane - 20.462,NO,American,"New Orleans, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa,,,,,,,,,,,Tulsa,TLSA,,,,,,,,,0,,Tulsa - 9.611,NO,American,"Tulsa, OK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UAB,,,,,,,,,,,UAB,UAB,,,,,,,,,0,,UAB - 50.004,NO,American,"Birmingham, AL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Davis,,,,,,,,,,,UC Davis,UCD,,,,,,,,,0,,UC Davis - 12.377,NO,Big West,"Davis, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Irvine,,,,,,,,,,,UC Irvine,UCI,,,,,,,,,0,,UC Irvine - 37.729,NO,Big West,"Irvine, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Riverside,,,,,,,,,,,UC Riverside,UCR,,,,,,,,,0,,UC Riverside - 20.083,NO,Big West,"Riverside, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC San Diego,,,,,,,,,,,UC San Diego,UCSD,,,,,,,,,0,,UC San Diego - 32.042,YES,Big West,"San Diego, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UC Santa Barbara,,,,,,,,,,,UC Santa Barbara,UCSB,,,,,,,,,0,,UC Santa Barbara - 31.073,NO,Big West,"Santa Barbara, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCF,,,,,,,,,,,UCF,UCF,,,,,,,,,0,,UCF - 26.79,NO,Big 12,"Orlando, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA,,,,,,,,,,,UCLA,UCLA,,,,,,,,,1,,UCLA - 55.924,YES,Big Ten,"Los Angeles, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMass Lowell,,,,,,,,,,,UMass Lowell,UML,,,,,,,,,0,,UMass Lowell - 16.84,NO,American East,"Lowell, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMBC,,,,,,,,,,,UMBC,UMBC,,,,,,,,,0,,UMBC - 9.973,NO,American East,"Baltimore, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UMKC,,,,,,,,,,,UMKC,UMKC,,,,,,,,,0,,UMKC - 10.209,NO,Summit,"Kansas City, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC Asheville,,,,,,,,,,,UNC Asheville,UNCA,,,,,,,,,0,,UNC Asheville - 30.241,NO,Big South,"Asheville, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC Greensboro,,,,,,,,,,,UNC Greensboro,UNCG,,,,,,,,,0,,UNC Greensboro - 19.88,NO,Southern,"Greensboro, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNC Wilmington,,,,,,,,,,,UNC Wilmington,UNCW,,,,,,,,,0,,UNC Wilmington - 38.936,YES,CAA,"Wilmington, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNLV,,,,,,,,,,,UNLV,UNLV,,,,,,,,,0,,UNLV - 18.095,NO,Mountain West,"Las Vegas, NV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC,,,,,,,,,,,USC,USC,,,,,,,,,0,,USC - 35.501,NO,Big Ten,"Los Angeles, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC Upstate,,,,,,,,,,,USC Upstate,UPST,,,,,,,,,0,,USC Upstate - 12.234,NO,Big South,"Spartanburg, SC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Arlington,,,,,,,,,,,UT Arlington,UTA,,,,,,,,,0,,UT Arlington - 9.951,NO,WAC,"Arlington, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT Rio Grande Valley,,,,,,,,,,,UT Rio Grande Valley,RGV,,,,,,,,,0,,UT Rio Grande Valley - 5.968,NO,Southland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,,,,,,,,,,,Utah,UTAH,,,,,,,,,0,,Utah - -3.877,NO,Big 12,"Salt Lake City, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah St.,,,,,,,,,,,Utah St.,USU,,,,,,,,,0,,Utah St. - 56.176,YES,Mountain West,"Logan, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Tech,,,,,,,,,,,Utah Tech,UTU,,,,,,,,,0,,Utah Tech - 13.512,NO,WAC,"St. George, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah Valley,,,,,,,,,,,Utah Valley,UVU,,,,,,,,,0,,Utah Valley - 32.608,NO,WAC,"Orem, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTEP,,,,,,,,,,,UTEP,UTEP,,,,,,,,,0,,UTEP - 15.751,NO,CUSA,"El Paso, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTSA,,,,,,,,,,,UTSA,UTSA,,,,,,,,,0,,UTSA - 7.034,NO,American,"San Antonio, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valparaiso,,,,,,,,,,,Valparaiso,VAL,,,,,,,,,0,,Valparaiso - 11.611,NO,Missouri Valley,"Valparaiso, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanderbilt,,,,,,,,,,,Vanderbilt,VAN,,,,,,,,,0,,Vanderbilt - 6.944,YES,SEC,"Nashville, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCU,,,,,,,,,,,VCU,VCU,,,,,,,,,0,,VCU - 58.937,YES,A10,"Richmond, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,,,,,,,,,,,Vermont,UVM,,,,,,,,,0,,Vermont - 45.113,NO,American East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villanova,,,,,,,,,,,Villanova,VILL,,,,,,,,,0,,Villanova - 55.768,NO,Big East,"Villanova, PA","Philadelphia, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,Virginia,UVA,,,,,,,,,0,,Virginia - 26.551,NO,ACC,"Charlottesville, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Tech,,,,,,,,,,,Virginia Tech,VT,,,,,,,,,0,,Virginia Tech - 26.293,NO,ACC,"Blacksburg, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMI,,,,,,,,,,,VMI,VMI,,,,,,,,,0,,VMI - 14.524,NO,Southern,"Lexington, VA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wagner,,,,,,,,,,,Wagner,,,,,,,,,,0,,Wagner - 24.001,NO,NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wake Forest,,,,,,,,,,,Wake Forest,WAKE,,,,,,,,,0,,Wake Forest - 15.996,NO,ACC,"Winston-Salem, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,,,,,,,,,,,Washington,WASH,,,,,,,,,0,,Washington - -9.5,NO,Big Ten,"Seattle, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington St.,,,,,,,,,,,Washington St.,WSU,,,,,,,,,0,,Washington St. - 41.129,NO,WCC,"Pullman, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weber St.,,,,,,,,,,,Weber St.,WEB,,,,,,,,,0,,Weber St. - 13.897,NO,Big Sky,"Ogden, UT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Georgia,,,,,,,,,,,West Georgia,WGA,,,,,,,,,0,,West Georgia - 9.706,NO,ASUN,"Carrollton, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,,,,,,,,,,,West Virginia,WVU,,,,,,,,,0,,West Virginia - 2.488,NO,Big 12,"Morgantown, WV",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Carolina,,,,,,,,,,,Western Carolina,WCU,,,,,,,,,0,,Western Carolina - 12.164,NO,Southern,"Cullowhee, NC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Illinois,,,,,,,,,,,Western Illinois,WIU,,,,,,,,,0,,Western Illinois - 11.267,NO,Ohio Valley,"Macomb, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Kentucky,,,,,,,,,,,Western Kentucky,WKU,,,,,,,,,0,,Western Kentucky - 25.401,NO,CUSA,"Bowling Green, KY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
